,DATE,PROVINCE,REGION,NR_REPORTING,TOTAL_IN,TOTAL_IN_ICU,TOTAL_IN_RESP,TOTAL_IN_ECMO,NEW_IN,NEW_OUT,PROVINCE_NAME
706,2020-05-18,WHT,Wallonia,14,228,37,22,3,5,6,Hainaut
707,2020-05-18,VLI,Flanders,7,122,28,13,1,4,0,Limburg
708,2020-05-18,WLG,Wallonia,12,135,31,15,1,2,5,Liège
709,2020-05-18,WLX,Wallonia,3,31,3,3,0,1,0,Luxembourg
710,2020-05-18,WNA,Wallonia,6,72,13,6,3,3,0,Namur
711,2020-05-18,VOV,Flanders,14,156,39,15,1,4,1,OostVlaanderen
712,2020-05-18,VBR,Flanders,6,58,13,9,3,3,0,VlaamsBrabant
713,2020-05-18,WBR,Wallonia,2,16,4,3,0,0,0,BrabantWallon
714,2020-05-18,VWV,Flanders,11,235,43,22,1,11,0,WestVlaanderen
715,2020-05-19,VAN,Flanders,14,275,58,34,0,8,27,Antwerpen
716,2020-05-19,BRU,Brussels,15,272,62,40,4,9,30,Brussels
717,2020-05-19,WHT,Wallonia,14,213,32,16,2,6,23,Hainaut
718,2020-05-19,VLI,Flanders,7,107,24,14,1,5,12,Limburg
719,2020-05-19,WLG,Wallonia,12,131,29,13,1,2,16,Liège
720,2020-05-19,WLX,Wallonia,3,28,3,3,0,0,1,Luxembourg
721,2020-05-19,WNA,Wallonia,6,66,12,3,2,4,5,Namur
722,2020-05-19,VOV,Flanders,14,142,34,13,2,6,18,OostVlaanderen
723,2020-05-19,VBR,Flanders,6,48,15,9,2,5,12,VlaamsBrabant
724,2020-05-19,WBR,Wallonia,2,14,4,3,0,1,3,BrabantWallon
725,2020-05-19,VWV,Flanders,11,231,40,21,0,12,13,WestVlaanderen
726,2020-05-20,VAN,Flanders,14,253,55,33,0,7,25,Antwerpen
727,2020-05-20,BRU,Brussels,15,268,51,33,5,10,30,Brussels
728,2020-05-20,WHT,Wallonia,14,197,26,12,2,10,16,Hainaut
729,2020-05-20,VLI,Flanders,7,109,21,14,0,10,5,Limburg
730,2020-05-20,WLG,Wallonia,12,116,24,12,1,1,17,Liège
731,2020-05-20,WLX,Wallonia,3,25,2,2,0,0,2,Luxembourg
732,2020-05-20,WNA,Wallonia,6,68,12,4,2,7,5,Namur
733,2020-05-20,VOV,Flanders,14,138,32,13,2,6,9,OostVlaanderen
734,2020-05-20,VBR,Flanders,6,35,11,7,2,1,9,VlaamsBrabant
735,2020-05-20,WBR,Wallonia,2,13,3,3,0,2,0,BrabantWallon
736,2020-05-20,VWV,Flanders,11,226,40,21,1,17,23,WestVlaanderen
737,2020-05-21,VAN,Flanders,14,230,49,29,0,4,23,Antwerpen
738,2020-05-21,BRU,Brussels,15,258,51,35,5,6,21,Brussels
739,2020-05-21,WHT,Wallonia,14,182,21,12,2,2,19,Hainaut
740,2020-05-21,VLI,Flanders,7,114,20,14,0,17,7,Limburg
741,2020-05-21,WLG,Wallonia,12,117,24,11,1,5,12,Liège
742,2020-05-21,WLX,Wallonia,3,24,2,2,0,0,5,Luxembourg
743,2020-05-21,WNA,Wallonia,6,68,16,5,2,4,5,Namur
744,2020-05-21,VOV,Flanders,14,132,30,12,1,5,19,OostVlaanderen
745,2020-05-21,VBR,Flanders,6,31,12,6,3,0,2,VlaamsBrabant
746,2020-05-21,WBR,Wallonia,2,14,3,3,0,1,0,BrabantWallon
747,2020-05-21,VWV,Flanders,11,218,40,18,1,12,22,WestVlaanderen
748,2020-05-22,VAN,Flanders,14,227,48,29,0,5,3,Antwerpen
749,2020-05-22,BRU,Brussels,15,264,56,42,6,6,12,Brussels
750,2020-05-22,WHT,Wallonia,14,166,18,10,2,4,2,Hainaut
751,2020-05-22,VLI,Flanders,7,104,20,15,0,3,2,Limburg
752,2020-05-22,WLG,Wallonia,12,116,23,9,2,3,3,Liège
753,2020-05-22,WLX,Wallonia,3,26,2,2,0,1,0,Luxembourg
754,2020-05-22,WNA,Wallonia,6,65,11,6,2,0,2,Namur
755,2020-05-22,VOV,Flanders,14,132,28,11,1,6,2,OostVlaanderen
756,2020-05-22,VBR,Flanders,6,31,12,5,3,0,2,VlaamsBrabant
757,2020-05-22,WBR,Wallonia,2,14,3,3,0,0,0,BrabantWallon
758,2020-05-22,VWV,Flanders,11,215,38,17,1,6,4,WestVlaanderen
759,2020-05-23,VAN,Flanders,14,219,48,27,0,5,18,Antwerpen
760,2020-05-23,BRU,Brussels,15,251,54,39,5,7,21,Brussels
761,2020-05-23,WHT,Wallonia,14,161,16,9,2,6,15,Hainaut
762,2020-05-23,VLI,Flanders,7,110,18,15,0,7,10,Limburg
763,2020-05-23,WLG,Wallonia,12,106,23,10,2,6,18,Liège
764,2020-05-23,WLX,Wallonia,3,20,2,2,0,0,5,Luxembourg
765,2020-05-23,WNA,Wallonia,6,59,13,5,1,2,4,Namur
766,2020-05-23,VOV,Flanders,14,118,29,10,1,4,15,OostVlaanderen
767,2020-05-23,VBR,Flanders,6,35,11,5,3,4,0,VlaamsBrabant
768,2020-05-23,WBR,Wallonia,2,12,2,2,0,0,1,BrabantWallon
769,2020-05-23,VWV,Flanders,11,205,40,19,1,7,10,WestVlaanderen
770,2020-05-24,VAN,Flanders,14,215,46,25,0,5,6,Antwerpen
771,2020-05-24,BRU,Brussels,15,255,55,38,5,4,5,Brussels
772,2020-05-24,WHT,Wallonia,14,159,15,9,2,6,4,Hainaut
773,2020-05-24,VLI,Flanders,7,107,19,14,0,2,2,Limburg
774,2020-05-24,WLG,Wallonia,12,108,22,9,2,1,1,Liège
775,2020-05-24,WLX,Wallonia,3,23,2,2,0,0,0,Luxembourg
776,2020-05-24,WNA,Wallonia,6,59,11,5,1,1,0,Namur
777,2020-05-24,VOV,Flanders,14,118,27,8,1,2,1,OostVlaanderen
778,2020-05-24,VBR,Flanders,6,34,11,5,3,0,0,VlaamsBrabant
779,2020-05-24,WBR,Wallonia,2,11,2,2,0,0,1,BrabantWallon
780,2020-05-24,VWV,Flanders,11,217,41,17,1,6,5,WestVlaanderen
781,2020-05-25,VAN,Flanders,14,219,44,27,0,8,2,Antwerpen
782,2020-05-25,BRU,Brussels,15,251,57,34,4,6,11,Brussels
783,2020-05-25,WHT,Wallonia,14,155,15,9,1,3,2,Hainaut
784,2020-05-25,VLI,Flanders,7,115,19,13,0,13,2,Limburg
785,2020-05-25,WLG,Wallonia,12,107,22,9,2,1,1,Liège
786,2020-05-25,WLX,Wallonia,3,24,2,1,0,0,0,Luxembourg
787,2020-05-25,WNA,Wallonia,6,56,11,5,1,0,1,Namur
788,2020-05-25,VOV,Flanders,14,118,26,7,1,1,1,OostVlaanderen
789,2020-05-25,VBR,Flanders,6,32,11,4,3,1,0,VlaamsBrabant
790,2020-05-25,WBR,Wallonia,2,10,1,1,0,0,1,BrabantWallon
791,2020-05-25,VWV,Flanders,11,217,41,19,1,6,2,WestVlaanderen
792,2020-05-26,VAN,Flanders,14,186,38,22,0,4,13,Antwerpen
793,2020-05-26,BRU,Brussels,15,240,51,31,3,5,15,Brussels
794,2020-05-26,WHT,Wallonia,14,133,15,9,1,4,29,Hainaut
795,2020-05-26,VLI,Flanders,7,93,18,11,0,0,6,Limburg
796,2020-05-26,WLG,Wallonia,12,104,20,10,2,6,10,Liège
797,2020-05-26,WLX,Wallonia,3,27,1,0,0,5,2,Luxembourg
798,2020-05-26,WNA,Wallonia,6,36,9,4,1,1,20,Namur
799,2020-05-26,VOV,Flanders,14,104,27,7,1,5,16,OostVlaanderen
800,2020-05-26,VBR,Flanders,6,28,10,4,3,0,3,VlaamsBrabant
801,2020-05-26,WBR,Wallonia,2,6,1,1,0,0,2,BrabantWallon
802,2020-05-26,VWV,Flanders,11,193,33,15,1,6,29,WestVlaanderen
803,2020-05-27,VAN,Flanders,14,174,39,21,1,5,16,Antwerpen
804,2020-05-27,BRU,Brussels,15,207,45,22,2,9,16,Brussels
805,2020-05-27,WHT,Wallonia,14,111,10,6,1,3,20,Hainaut
806,2020-05-27,VLI,Flanders,7,86,19,13,0,6,12,Limburg
807,2020-05-27,WLG,Wallonia,12,97,20,10,2,3,7,Liège
808,2020-05-27,WLX,Wallonia,3,25,2,1,0,3,3,Luxembourg
809,2020-05-27,WNA,Wallonia,6,37,10,5,1,2,2,Namur
810,2020-05-27,VOV,Flanders,14,97,26,6,1,5,12,OostVlaanderen
811,2020-05-27,VBR,Flanders,6,28,7,4,3,3,4,VlaamsBrabant
812,2020-05-27,WBR,Wallonia,2,5,1,0,0,0,1,BrabantWallon
813,2020-05-27,VWV,Flanders,11,183,30,13,1,10,15,WestVlaanderen
814,2020-05-28,VAN,Flanders,14,145,38,19,1,4,24,Antwerpen
815,2020-05-28,BRU,Brussels,15,197,40,18,3,2,13,Brussels
816,2020-05-28,WHT,Wallonia,14,98,8,6,1,2,12,Hainaut
817,2020-05-28,VLI,Flanders,7,77,16,13,0,5,8,Limburg
818,2020-05-28,WLG,Wallonia,12,92,19,8,2,4,5,Liège
819,2020-05-28,WLX,Wallonia,3,17,3,1,0,0,6,Luxembourg
820,2020-05-28,WNA,Wallonia,6,32,8,4,1,0,6,Namur
821,2020-05-28,VOV,Flanders,14,94,26,7,1,3,7,OostVlaanderen
822,2020-05-28,VBR,Flanders,6,25,6,4,3,0,4,VlaamsBrabant
823,2020-05-28,WBR,Wallonia,2,5,1,0,0,0,0,BrabantWallon
824,2020-05-28,VWV,Flanders,11,157,22,10,0,7,24,WestVlaanderen
825,2020-05-29,VAN,Flanders,14,134,37,20,1,5,17,Antwerpen
826,2020-05-29,BRU,Brussels,15,189,38,18,2,5,19,Brussels
827,2020-05-29,WHT,Wallonia,14,93,9,6,1,5,15,Hainaut
828,2020-05-29,VLI,Flanders,7,72,17,10,0,3,5,Limburg
829,2020-05-29,WLG,Wallonia,12,91,13,8,2,4,11,Liège
830,2020-05-29,WLX,Wallonia,3,13,2,1,0,0,3,Luxembourg
831,2020-05-29,WNA,Wallonia,6,28,5,2,1,1,3,Namur
832,2020-05-29,VOV,Flanders,14,97,25,7,1,3,1,OostVlaanderen
833,2020-05-29,VBR,Flanders,6,23,6,4,3,0,2,VlaamsBrabant
834,2020-05-29,WBR,Wallonia,2,3,1,0,0,0,0,BrabantWallon
835,2020-05-29,VWV,Flanders,11,149,20,9,0,3,11,WestVlaanderen
836,2020-05-30,VAN,Flanders,14,117,36,16,1,8,23,Antwerpen
837,2020-05-30,BRU,Brussels,15,186,39,21,3,3,12,Brussels
838,2020-05-30,WHT,Wallonia,14,85,8,5,1,7,19,Hainaut
839,2020-05-30,VLI,Flanders,7,71,16,11,0,5,8,Limburg
840,2020-05-30,WLG,Wallonia,12,81,12,7,2,2,14,Liège
841,2020-05-30,WLX,Wallonia,3,12,2,1,0,0,1,Luxembourg
842,2020-05-30,WNA,Wallonia,6,25,5,3,0,1,1,Namur
843,2020-05-30,VOV,Flanders,14,89,24,7,1,2,13,OostVlaanderen
844,2020-05-30,VBR,Flanders,6,18,2,1,0,0,1,VlaamsBrabant
845,2020-05-30,WBR,Wallonia,2,2,1,0,0,0,1,BrabantWallon
846,2020-05-30,VWV,Flanders,11,137,23,12,0,12,25,WestVlaanderen
847,2020-05-31,VAN,Flanders,14,118,37,18,1,6,5,Antwerpen
848,2020-05-31,BRU,Brussels,15,179,40,21,3,3,7,Brussels
849,2020-05-31,WHT,Wallonia,14,85,9,5,1,0,0,Hainaut
850,2020-05-31,VLI,Flanders,7,68,15,10,0,2,5,Limburg
851,2020-05-31,WLG,Wallonia,12,84,12,7,2,2,4,Liège
852,2020-05-31,WLX,Wallonia,3,13,2,1,0,1,0,Luxembourg
853,2020-05-31,WNA,Wallonia,6,22,4,3,0,1,1,Namur
854,2020-05-31,VOV,Flanders,14,92,20,6,1,4,3,OostVlaanderen
855,2020-05-31,VBR,Flanders,6,17,2,1,0,1,0,VlaamsBrabant
856,2020-05-31,WBR,Wallonia,2,2,1,0,0,0,0,BrabantWallon
857,2020-05-31,VWV,Flanders,11,138,22,11,0,5,8,WestVlaanderen
858,2020-06-01,VAN,Flanders,14,116,34,15,1,2,2,Antwerpen
859,2020-06-01,BRU,Brussels,15,184,42,23,3,7,3,Brussels
860,2020-06-01,WHT,Wallonia,14,84,8,5,1,3,2,Hainaut
861,2020-06-01,VLI,Flanders,7,68,16,11,0,3,1,Limburg
862,2020-06-01,WLG,Wallonia,12,80,12,8,2,1,0,Liège
863,2020-06-01,WLX,Wallonia,3,14,3,1,0,1,0,Luxembourg
864,2020-06-01,WNA,Wallonia,6,22,4,3,0,0,0,Namur
865,2020-06-01,VOV,Flanders,14,93,20,7,1,2,4,OostVlaanderen
866,2020-06-01,VBR,Flanders,6,16,2,1,0,0,1,VlaamsBrabant
867,2020-06-01,WBR,Wallonia,2,2,1,0,0,0,0,BrabantWallon
868,2020-06-01,VWV,Flanders,11,142,24,12,0,7,1,WestVlaanderen
869,2020-06-02,VAN,Flanders,14,112,33,13,1,2,3,Antwerpen
870,2020-06-02,BRU,Brussels,15,190,47,22,3,8,2,Brussels
871,2020-06-02,WHT,Wallonia,14,81,8,3,1,2,2,Hainaut
872,2020-06-02,VLI,Flanders,7,71,17,7,0,4,3,Limburg
873,2020-06-02,WLG,Wallonia,12,78,14,9,2,3,4,Liège
874,2020-06-02,WLX,Wallonia,3,12,3,1,0,0,1,Luxembourg
875,2020-06-02,WNA,Wallonia,6,24,5,3,0,2,0,Namur
876,2020-06-02,VOV,Flanders,14,93,17,5,1,1,3,OostVlaanderen
877,2020-06-02,VBR,Flanders,6,15,2,1,0,0,0,VlaamsBrabant
878,2020-06-02,WBR,Wallonia,2,3,1,0,0,2,0,BrabantWallon
879,2020-06-02,VWV,Flanders,11,142,25,15,0,7,7,WestVlaanderen
880,2020-06-03,VAN,Flanders,14,112,30,13,1,6,7,Antwerpen
881,2020-06-03,BRU,Brussels,15,158,33,18,3,1,21,Brussels
882,2020-06-03,WHT,Wallonia,14,69,7,3,1,4,15,Hainaut
883,2020-06-03,VLI,Flanders,7,66,16,8,0,3,7,Limburg
884,2020-06-03,WLG,Wallonia,12,70,14,8,2,2,14,Liège
885,2020-06-03,WLX,Wallonia,3,11,0,0,0,1,1,Luxembourg
886,2020-06-03,WNA,Wallonia,6,22,4,3,0,1,0,Namur
887,2020-06-03,VOV,Flanders,14,84,14,5,1,2,11,OostVlaanderen
888,2020-06-03,VBR,Flanders,6,16,3,1,0,1,1,VlaamsBrabant
889,2020-06-03,WBR,Wallonia,2,2,0,0,0,0,0,BrabantWallon
890,2020-06-03,VWV,Flanders,11,129,24,15,0,0,12,WestVlaanderen
891,2020-06-04,VAN,Flanders,14,105,28,16,1,3,7,Antwerpen
892,2020-06-04,BRU,Brussels,15,139,36,18,3,7,22,Brussels
893,2020-06-04,WHT,Wallonia,14,64,6,4,1,4,8,Hainaut
894,2020-06-04,VLI,Flanders,7,63,13,7,0,4,7,Limburg
895,2020-06-04,WLG,Wallonia,12,68,12,6,2,2,2,Liège
896,2020-06-04,WLX,Wallonia,3,10,0,0,0,1,0,Luxembourg
897,2020-06-04,WNA,Wallonia,6,24,4,2,0,2,0,Namur
898,2020-06-04,VOV,Flanders,14,83,13,5,1,2,7,OostVlaanderen
899,2020-06-04,VBR,Flanders,6,18,3,2,0,1,0,VlaamsBrabant
900,2020-06-04,WBR,Wallonia,2,3,0,0,0,2,0,BrabantWallon
901,2020-06-04,VWV,Flanders,11,125,22,13,0,4,11,WestVlaanderen
902,2020-06-05,VAN,Flanders,14,95,25,17,1,7,11,Antwerpen
903,2020-06-05,BRU,Brussels,15,134,32,21,3,5,10,Brussels
904,2020-06-05,WHT,Wallonia,14,57,5,3,1,1,9,Hainaut
905,2020-06-05,VLI,Flanders,7,58,12,4,0,2,5,Limburg
906,2020-06-05,WLG,Wallonia,12,59,10,5,1,1,8,Liège
907,2020-06-05,WLX,Wallonia,3,10,0,0,0,0,0,Luxembourg
908,2020-06-05,WNA,Wallonia,6,19,3,2,0,0,6,Namur
909,2020-06-05,VOV,Flanders,14,81,12,5,1,5,11,OostVlaanderen
910,2020-06-05,VBR,Flanders,6,16,2,2,0,2,3,VlaamsBrabant
911,2020-06-05,WBR,Wallonia,2,3,0,0,0,0,0,BrabantWallon
912,2020-06-05,VWV,Flanders,11,115,20,12,0,3,15,WestVlaanderen
913,2020-06-06,VAN,Flanders,14,86,22,17,1,0,19,Antwerpen
914,2020-06-06,BRU,Brussels,15,126,30,19,3,4,10,Brussels
915,2020-06-06,WHT,Wallonia,14,45,4,2,1,1,15,Hainaut
916,2020-06-06,VLI,Flanders,7,51,11,7,0,3,9,Limburg
917,2020-06-06,WLG,Wallonia,12,49,9,5,1,2,12,Liège
918,2020-06-06,WLX,Wallonia,3,10,0,0,0,0,0,Luxembourg
919,2020-06-06,WNA,Wallonia,6,19,3,2,0,1,2,Namur
920,2020-06-06,VOV,Flanders,14,66,11,5,1,3,14,OostVlaanderen
921,2020-06-06,VBR,Flanders,6,16,2,1,0,1,0,VlaamsBrabant
922,2020-06-06,WBR,Wallonia,2,2,0,0,0,0,1,BrabantWallon
923,2020-06-06,VWV,Flanders,11,103,19,11,0,6,19,WestVlaanderen
924,2020-06-07,VAN,Flanders,14,80,21,16,1,1,3,Antwerpen
925,2020-06-07,BRU,Brussels,15,140,32,17,3,11,4,Brussels
926,2020-06-07,WHT,Wallonia,14,43,2,2,1,3,4,Hainaut
927,2020-06-07,VLI,Flanders,7,50,12,7,0,3,2,Limburg
928,2020-06-07,WLG,Wallonia,12,47,9,5,1,0,3,Liège
929,2020-06-07,WLX,Wallonia,3,10,0,0,0,0,0,Luxembourg
930,2020-06-07,WNA,Wallonia,6,17,3,2,0,2,2,Namur
931,2020-06-07,VOV,Flanders,14,67,12,6,1,1,2,OostVlaanderen
932,2020-06-07,VBR,Flanders,6,18,6,4,2,1,2,VlaamsBrabant
933,2020-06-07,WBR,Wallonia,2,2,0,0,0,0,0,BrabantWallon
934,2020-06-07,VWV,Flanders,11,102,19,11,0,1,2,WestVlaanderen
935,2020-06-08,VAN,Flanders,14,80,22,12,1,1,1,Antwerpen
936,2020-06-08,BRU,Brussels,15,139,32,14,2,2,3,Brussels
937,2020-06-08,WHT,Wallonia,14,46,3,2,1,5,1,Hainaut
938,2020-06-08,VLI,Flanders,7,52,11,8,0,4,0,Limburg
939,2020-06-08,WLG,Wallonia,12,52,9,6,1,1,0,Liège
940,2020-06-08,WLX,Wallonia,3,9,0,0,0,0,0,Luxembourg
941,2020-06-08,WNA,Wallonia,6,17,3,2,0,1,0,Namur
942,2020-06-08,VOV,Flanders,14,64,11,6,2,1,1,OostVlaanderen
943,2020-06-08,VBR,Flanders,6,18,6,4,2,0,0,VlaamsBrabant
944,2020-06-08,WBR,Wallonia,2,3,0,0,0,0,0,BrabantWallon
945,2020-06-08,VWV,Flanders,11,95,18,12,0,1,3,WestVlaanderen
946,2020-06-09,VAN,Flanders,14,64,18,9,1,4,7,Antwerpen
947,2020-06-09,BRU,Brussels,15,131,27,15,3,5,13,Brussels
948,2020-06-09,WHT,Wallonia,14,42,3,2,1,4,9,Hainaut
949,2020-06-09,VLI,Flanders,7,50,11,6,0,5,5,Limburg
950,2020-06-09,WLG,Wallonia,12,51,8,4,1,0,5,Liège
951,2020-06-09,WLX,Wallonia,3,9,0,0,0,0,0,Luxembourg
952,2020-06-09,WNA,Wallonia,6,16,3,1,0,0,1,Namur
953,2020-06-09,VOV,Flanders,14,54,10,5,2,1,13,OostVlaanderen
954,2020-06-09,VBR,Flanders,6,17,5,4,2,1,1,VlaamsBrabant
955,2020-06-09,WBR,Wallonia,2,3,0,0,0,0,0,BrabantWallon
956,2020-06-09,VWV,Flanders,11,90,17,11,0,4,14,WestVlaanderen
957,2020-06-10,VAN,Flanders,14,61,19,8,1,5,5,Antwerpen
958,2020-06-10,BRU,Brussels,15,122,32,15,3,5,10,Brussels
959,2020-06-10,WHT,Wallonia,14,41,3,2,1,2,8,Hainaut
960,2020-06-10,VLI,Flanders,7,47,10,5,0,3,4,Limburg
961,2020-06-10,WLG,Wallonia,12,46,8,3,1,1,9,Liège
962,2020-06-10,WLX,Wallonia,3,7,0,0,0,0,1,Luxembourg
963,2020-06-10,WNA,Wallonia,6,15,2,1,0,0,1,Namur
964,2020-06-10,VOV,Flanders,14,50,10,5,2,1,5,OostVlaanderen
965,2020-06-10,VBR,Flanders,6,17,4,4,2,1,1,VlaamsBrabant
966,2020-06-10,WBR,Wallonia,2,2,0,0,0,0,1,BrabantWallon
967,2020-06-10,VWV,Flanders,11,76,11,9,0,1,16,WestVlaanderen
968,2020-06-11,VAN,Flanders,14,62,19,6,1,5,5,Antwerpen
969,2020-06-11,BRU,Brussels,15,125,24,15,3,5,6,Brussels
970,2020-06-11,WHT,Wallonia,14,41,3,2,1,6,9,Hainaut
971,2020-06-11,VLI,Flanders,7,49,8,3,0,7,4,Limburg
972,2020-06-11,WLG,Wallonia,12,40,6,3,0,0,6,Liège
973,2020-06-11,WLX,Wallonia,3,9,0,0,0,1,0,Luxembourg
974,2020-06-11,WNA,Wallonia,6,13,2,0,0,0,1,Namur
975,2020-06-11,VOV,Flanders,14,50,11,4,0,4,4,OostVlaanderen
976,2020-06-11,VBR,Flanders,6,16,4,4,2,0,1,VlaamsBrabant
977,2020-06-11,WBR,Wallonia,2,3,0,0,0,0,0,BrabantWallon
978,2020-06-11,VWV,Flanders,11,71,12,9,0,4,9,WestVlaanderen
979,2020-06-12,VAN,Flanders,14,51,16,5,1,3,8,Antwerpen
980,2020-06-12,BRU,Brussels,15,109,23,14,4,4,8,Brussels
981,2020-06-12,WHT,Wallonia,14,38,4,3,1,7,6,Hainaut
982,2020-06-12,VLI,Flanders,7,40,8,3,0,0,8,Limburg
983,2020-06-12,WLG,Wallonia,12,34,7,3,0,0,7,Liège
984,2020-06-12,WLX,Wallonia,3,7,0,0,0,1,0,Luxembourg
985,2020-06-12,WNA,Wallonia,6,11,2,0,0,1,3,Namur
986,2020-06-12,VOV,Flanders,14,46,11,4,0,1,3,OostVlaanderen
987,2020-06-12,VBR,Flanders,6,19,4,4,2,4,1,VlaamsBrabant
988,2020-06-12,WBR,Wallonia,2,4,0,0,0,0,0,BrabantWallon
989,2020-06-12,VWV,Flanders,11,66,13,7,1,2,7,WestVlaanderen
990,2020-06-13,VAN,Flanders,14,45,13,5,1,2,5,Antwerpen
991,2020-06-13,BRU,Brussels,15,101,23,13,3,3,14,Brussels
992,2020-06-13,WHT,Wallonia,14,32,5,4,1,5,2,Hainaut
993,2020-06-13,VLI,Flanders,7,33,7,3,0,0,8,Limburg
994,2020-06-13,WLG,Wallonia,12,30,6,3,0,0,5,Liège
995,2020-06-13,WLX,Wallonia,3,7,0,0,0,0,0,Luxembourg
996,2020-06-13,WNA,Wallonia,6,11,2,0,0,0,0,Namur
997,2020-06-13,VOV,Flanders,14,44,9,4,0,0,2,OostVlaanderen
998,2020-06-13,VBR,Flanders,6,19,4,4,2,0,1,VlaamsBrabant
999,2020-06-13,WBR,Wallonia,2,4,0,0,0,0,0,BrabantWallon
1000,2020-06-13,VWV,Flanders,11,69,13,8,0,2,5,WestVlaanderen
1001,2020-06-14,VAN,Flanders,14,47,14,5,1,4,5,Antwerpen
1002,2020-06-14,BRU,Brussels,15,102,25,14,3,4,4,Brussels
1003,2020-06-14,WHT,Wallonia,14,33,5,3,1,2,1,Hainaut
1004,2020-06-14,VLI,Flanders,7,36,8,4,0,2,0,Limburg
1005,2020-06-14,WLG,Wallonia,12,30,5,2,0,1,2,Liège
1006,2020-06-14,WLX,Wallonia,3,8,0,0,0,0,0,Luxembourg
1007,2020-06-14,WNA,Wallonia,6,12,2,0,0,1,0,Namur
1008,2020-06-14,VOV,Flanders,14,43,8,3,0,1,2,OostVlaanderen
1009,2020-06-14,VBR,Flanders,6,18,4,4,2,0,1,VlaamsBrabant
1010,2020-06-14,WBR,Wallonia,2,4,0,0,0,0,0,BrabantWallon
1011,2020-06-14,VWV,Flanders,11,67,14,8,0,2,6,WestVlaanderen
1012,2020-06-15,VAN,Flanders,14,42,14,5,1,0,2,Antwerpen
1013,2020-06-15,BRU,Brussels,15,102,24,11,3,4,3,Brussels
1014,2020-06-15,WHT,Wallonia,14,32,4,3,1,1,2,Hainaut
1015,2020-06-15,VLI,Flanders,7,36,6,3,0,1,1,Limburg
1016,2020-06-15,WLG,Wallonia,12,34,5,2,0,1,2,Liège
1017,2020-06-15,WLX,Wallonia,3,8,0,0,0,0,0,Luxembourg
1018,2020-06-15,WNA,Wallonia,6,12,1,0,0,0,0,Namur
1019,2020-06-15,VOV,Flanders,14,45,6,2,0,2,0,OostVlaanderen
1020,2020-06-15,VBR,Flanders,6,17,4,4,2,0,1,VlaamsBrabant
1021,2020-06-15,WBR,Wallonia,2,4,0,0,0,0,0,BrabantWallon
1022,2020-06-15,VWV,Flanders,11,63,12,7,0,2,4,WestVlaanderen
1023,2020-06-16,VAN,Flanders,14,45,14,3,1,4,10,Antwerpen
1024,2020-06-16,BRU,Brussels,15,98,22,11,3,4,10,Brussels
1025,2020-06-16,WHT,Wallonia,14,33,4,3,1,11,9,Hainaut
1026,2020-06-16,VLI,Flanders,7,34,6,3,0,0,3,Limburg
1027,2020-06-16,WLG,Wallonia,12,28,4,2,0,1,3,Liège
1028,2020-06-16,WLX,Wallonia,3,10,1,0,0,3,1,Luxembourg
1029,2020-06-16,WNA,Wallonia,6,12,1,0,0,0,0,Namur
1030,2020-06-16,VOV,Flanders,14,34,3,1,0,1,10,OostVlaanderen
1031,2020-06-16,VBR,Flanders,6,16,4,4,1,0,2,VlaamsBrabant
1032,2020-06-16,WBR,Wallonia,2,4,0,0,0,0,0,BrabantWallon
1033,2020-06-16,VWV,Flanders,11,57,8,4,0,0,9,WestVlaanderen
1034,2020-06-17,VAN,Flanders,14,44,13,4,1,2,3,Antwerpen
1035,2020-06-17,BRU,Brussels,15,96,20,9,3,5,3,Brussels
1036,2020-06-17,WHT,Wallonia,14,29,3,3,1,0,4,Hainaut
1037,2020-06-17,VLI,Flanders,7,31,6,3,0,4,6,Limburg
1038,2020-06-17,WLG,Wallonia,12,21,2,0,0,1,6,Liège
1039,2020-06-17,WLX,Wallonia,3,9,0,0,0,1,2,Luxembourg
1040,2020-06-17,WNA,Wallonia,6,12,1,0,0,0,0,Namur
1041,2020-06-17,VOV,Flanders,14,32,3,1,0,1,3,OostVlaanderen
1042,2020-06-17,VBR,Flanders,6,15,4,4,1,1,1,VlaamsBrabant
1043,2020-06-17,WBR,Wallonia,2,3,0,0,0,0,1,BrabantWallon
1044,2020-06-17,VWV,Flanders,11,52,8,2,0,4,11,WestVlaanderen
1045,2020-06-18,VAN,Flanders,14,49,11,4,1,2,1,Antwerpen
1046,2020-06-18,BRU,Brussels,15,93,19,9,3,5,9,Brussels
1047,2020-06-18,WHT,Wallonia,14,33,2,2,1,6,0,Hainaut
1048,2020-06-18,VLI,Flanders,7,31,5,4,0,1,1,Limburg
1049,2020-06-18,WLG,Wallonia,12,17,2,0,0,2,6,Liège
1050,2020-06-18,WLX,Wallonia,3,8,0,0,0,0,1,Luxembourg
1051,2020-06-18,WNA,Wallonia,6,9,0,0,0,0,3,Namur
1052,2020-06-18,VOV,Flanders,14,33,3,1,0,0,1,OostVlaanderen
1053,2020-06-18,VBR,Flanders,6,13,3,3,1,1,0,VlaamsBrabant
1054,2020-06-18,WBR,Wallonia,2,3,0,0,0,0,0,BrabantWallon
1055,2020-06-18,VWV,Flanders,11,51,7,4,0,3,5,WestVlaanderen
1056,2020-06-19,VAN,Flanders,14,47,12,4,1,4,4,Antwerpen
1057,2020-06-19,BRU,Brussels,15,77,17,9,3,4,17,Brussels
1058,2020-06-19,WHT,Wallonia,14,32,2,2,1,2,3,Hainaut
